id,durationInitial,durationAdditional,amountInitial,amountAdditional,pctTax,phone,inState,companyFacility,service,updatedAt
856b968f4e9db1,60,60,0.21,0.21,0.01,13342427100,1,9b20892020747a,1,"[""2021-03-01T16:55:42.955Z""]"
c226aaa8b343b2,60,60,0.21,0.21,0.08,14109743901,0,9b20892020747a,1,"[""2021-03-01T16:55:46.116Z""]"
dd6ae9e03bbf85,60,60,0.21,0.21,,13342427100,1,44667ca7a9fbf9,1,"[""2021-03-01T16:55:58.253Z""]"
014ca8e3ba61a2,60,60,0.21,0.21,,14109743901,0,44667ca7a9fbf9,1,"[""2021-03-01T16:56:01.647Z""]"
458ad9ae0d5a1c,60,60,0.21,0.21,0.01,13342427100,1,80beeed1c9999a,1,"[""2021-03-01T16:56:12.757Z""]"
beac9aeac9847a,60,60,0.21,0.21,0.08,14109743901,0,80beeed1c9999a,1,"[""2021-03-01T16:56:15.926Z""]"
60d5bebb1c61a4,60,60,0.21,0.21,,13342427100,1,c3c2e70e7b5f29,1,"[""2021-03-01T16:56:26.353Z""]"
6a3708a67cfaab,60,60,0.21,0.21,,14109743901,0,c3c2e70e7b5f29,1,"[""2021-03-01T16:56:29.151Z""]"
5dfb2ea349b74a,60,60,0.21,0.21,0.02,16025424331,1,e9e8a460cdf01a,1,"[""2021-03-01T16:56:51.975Z""]"
9323cb74aff031,60,60,0.21,0.21,0.09,16082661212,0,e9e8a460cdf01a,1,"[""2021-03-01T16:56:54.289Z""]"
83b90f52fec3d2,60,60,0.21,0.21,0.02,16025424331,1,0e9f605fcb4aa9,1,"[""2021-03-01T16:56:56.360Z""]"
d802c15fafb412,60,60,0.21,0.21,0.09,16082661212,0,0e9f605fcb4aa9,1,"[""2021-03-01T16:57:00.356Z""]"
7889134a963a96,60,60,0.21,0.21,0.02,16025424331,1,feabb3a9c41f19,1,"[""2021-03-01T16:57:02.646Z""]"
5a8c3eb6a372de,60,60,0.21,0.21,0.09,16082661212,0,feabb3a9c41f19,1,"[""2021-03-01T16:57:06.068Z""]"
81d88c370ee2a2,60,60,0.21,0.21,0.02,16025424331,1,1bae3f3f7ae4ba,1,"[""2021-03-01T16:57:07.969Z""]"
9e647c7d0bd1c6,60,60,0.21,0.21,0.09,16082661212,0,1bae3f3f7ae4ba,1,"[""2021-03-01T16:57:12.552Z""]"
1e93e9be6a9273,60,60,0.2,0.2,0.01,16025424331,1,e5cd85cfb0286c,1,"[""2021-03-01T16:57:14.858Z""]"
3981b527244e9d,60,60,0.21,0.21,0.09,16082661212,0,e5cd85cfb0286c,1,"[""2021-03-01T16:57:18.455Z""]"
