uid,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,created,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
8ddb2d635235db,NV DOC - TONOPAH CONSERVATION CAMP,,,NV,SECURUS,10107,2021-01-09T00:26:42.184Z,false,,Tonopah Conservation Camp,"100 Conservation Rd, Tonopah, NV 89049, United States",-117.1053167,38.1692309,Nye County,ChIJX6DK1-H5u4AR0VCEasm2dzA,NV
125ff17dadd089,Wichita County TX,,,TX,GTL,,2021-04-04T14:08:42.756Z,false,,Wichita County,"Wichita County, TX, USA",-98.7481167,33.9309651,Wichita County,ChIJG-W5i09HU4YRiUwVqIdjhGw,TX
ff759e5986a3cc,Western Mass Recovery and Wellness Center (WMRWC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:48:00.495Z,false,,,,,,,,MA
dbcef534847448,Stonybrook Stabilization & Treatment Center,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:48:02.764Z,false,,,,,,,,MA
aca599604c1760,ASPC-Yuma,AZDOC,Arizona Department of Corrections,AZ,ICS,9710,2021-03-06T02:47:51.641Z,false,,Arizona State Prison Complex,"7125 East Cesar Chavez Blvd., Yuma, AZ 85365, United States",-114.6430823,32.4941306,Yuma County,ChIJv-HtI8NR1oAR4dJ_ITNA-1A,AZ
61c0da99b5253c,Riverton (WHF),WYDOC,Wyoming Department Of Corrections,WY,ICS,10058,2021-03-06T02:50:52.261Z,false,,Wyoming Honor Farm,"40 Honor Farm Rd, Riverton, WY 82501, United States",-108.3751063,43.049184,Fremont County,ChIJ1ZIify_DWIcRwR-LWJSTJlU,WY
96f21a15169316,Oregon Correctional Center - OCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10059,2021-03-06T02:50:20.340Z,false,,Oregon Correctional Center,"5140 County Hwy M, Fitchburg, WI 53575, United States",-89.39771449999999,42.9511419,Dane County,ChIJgTZOgC8IB4gRxBIFWYaHI8Y,WI
ea622cd25a77d9,Drug Abuse Correctional Center - DACC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10060,2021-03-06T02:50:21.186Z,false,,Drug Abuse Correctional Center,"54985, 4280 Sherman Rd, Oshkosh, WI 54901, United States",-88.51502769999999,44.07936489999999,Winnebago County,ChIJYw6Dd4fqA4gRbUiL-mi1fpc,WI
fed442bf429d01,Kenosha Correctional Center - KCC,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10061,2021-03-06T02:50:22.083Z,false,,Kenosha Correctional Center,"6353 14th Ave, Kenosha, WI 53143, United States",-87.8265155,42.5761335,Kenosha County,ChIJEWcyT05eBYgRYfeJVAwy_Jg,WI
0c152302aa9f84,Milwaukee Secured Detention Facility - MSDF,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,10062,2021-03-06T02:50:22.693Z,false,,Milwaukee Secure Detention Facility,"1015 N 10th St, Milwaukee, WI 53233, United States",-87.92464179999999,43.0433928,Milwaukee County,ChIJUWtc6HkZBYgRJvXB0SJwfjs,WI
