FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,SHAPE_Length,SHAPE_Area,LONGITUDE,LATITUDE
1,10002798,MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,TX,79701,-999,(432) 688-4745,COUNTY,OPEN,438,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.midland.tx.us/200/Detention,2018/04/30 00:00:00,IMAGERY/OTHER,2020/02/27 00:00:00,https://www.co.midland.tx.us/departments/SO/Pages/default.aspx,MAXIMUM,498,0.00727474414751,863.87107605926,2.57905833923e-06,-102.0756480095,31.99418844300005
2,10002796,BARBARA CULVER JUVENILE DETENTION CENTER,3800 N LAMESA RD,MIDLAND,TX,79701,-999,(432) 688-4541,COUNTY,OPEN,-999,MIDLAND,48329,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.tjjd.texas.gov/publications/other/searchfacilityregistryresults.aspx?SelectedFacilityType=YKSBbGCMUWM=&SelectedSortBy=laExhobORj5ZHimppFKN0Q==&IncludeInactive=bZL7qeN3IjY=,2018/04/30 00:00:00,IMAGERY/OTHER,2020/02/11 00:00:00,https://www.co.midland.tx.us/163/Barbara-Culver-Juvenile-Center,JUVENILE,24,0.00464525058647,571.238625945111,9.89764503367e-07,-102.076373407,32.0378838285001
3,10002836,SAN JACINTO COUNTY JAIL,75 W CEDAR AVE,COLDSPRING,TX,77331,-999,(936) 653-4367,COUNTY,OPEN,96,SAN JACINTO,48407,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,http://www.co.san-jacinto.tx.us/page/sanjacinto.sheriff,NOT AVAILABLE,144,0.00232725233844,285.360222251671,3.07571487005e-07,-95.12961302849996,30.590947916000097
4,10003033,YELLOW MEDICINE COUNTY JAIL,415 9TH AVENUE,GRANITE FALLS,MN,56241,-999,(320) 313-3049,COUNTY,OPEN,27,YELLOW MEDICINE,27173,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.co.ym.mn.gov/index.asp?Type=B_BASIC&SEC={7AEEBD16-209E-4890-96DB-3A984AE3B434}, https://mn.gov/doc/data-publications/performance-report/",2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/02 00:00:00,https://www.co.ym.mn.gov/index.asp?SEC=7AEEBD16-209E-4890-96DB-3A984AE3B434,NOT AVAILABLE,36,0.00227221351015,304.118315612444,1.90010719573e-07,-95.54459605099996,44.8094813540001
5,10006288,NMJC THIEF RIVER FALLS SATELLITE HOME,118 N. SPRUCE AVENUE,THIEF RIVER FALLS,MN,56701,-999,(218) 681-3484,LOCAL,OPEN,2,PENNINGTON,27113,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.nmjconline.org/annual-statistical-report-2015-nmjc-online.pdf, https://mn.gov/doc/assets/Thief%20River%20Falls%20Satellite%20Home-NMJC_2017_tcm1089-298942.pdf",2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/02 00:00:00,http://www.nmjconline.org/satellite.php,JUVENILE,5,0.000643903767212,85.5381405245874,2.45748818435e-08,-96.16229490149999,48.1172712855
6,10005438,PREBLE COUNTY JAIL,1139 PREBLE DRIVE,EATON,OH,45320,-999,(937) 456-6323,COUNTY,OPEN,79,PREBLE,39135,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.preblecountysheriff.org/jail/,2018/04/12 00:00:00,IMAGERY/OTHER,2020/02/20 00:00:00,http://www.preblecountysheriff.org/jail/,NOT AVAILABLE,70,0.00302056088861,382.708818536848,5.01869202083e-07,-84.6446358884999,39.760914295000106
7,10004413,SCHLEICHER COUNTY JAIL,4 SOUTH DIVIDE STREET,ELDORADO,TX,76936,-999,(325) 853-2737,COUNTY,OPEN,5,SCHLEICHER,48413,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00,IMAGERY/OTHER,2020/03/04 00:00:00,http://www.schleichercountytexas.us/Sheriff/Sheriff.htm,NOT AVAILABLE,15,0.00115854006929,139.727286148174,7.85970462191e-08,-100.600362848,30.86003779750005
8,10003100,WASHINGTON COUNTY CORRECTIONAL FACILITY,100 W CHERRY AVE,WASHINGTON,PA,15301,6820,(724) 228-6845,COUNTY,OPEN,402,WASHINGTON,42125,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018/04/18 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,http://www.co.washington.pa.us/115/Correctional-Facility,NOT AVAILABLE,407,0.00236357394816,309.245960343672,2.25261484507e-07,-80.24675901649991,40.1695077775001
9,10006806,ANDREW COUNTY JAIL,400 EAST MAIN STREET,SAVANNAH,MO,64485,-999,(816) 324-4114,COUNTY,OPEN,-999,ANDREW,29003,USA,922140,CORRECTIONAL INSTITUTIONS,https://andrewcounty.org/sheriff/,2018/03/23 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,https://www.andrewcountysheriff.org/index.php,MAXIMUM,60,0.00187764701416,233.459619566326,1.89507494216e-07,-94.81940458449995,39.941012937000096
10,10005221,WAYNE COUNTY CORRECTIONAL FACILITY,44 MID-WAYNE DR,HONESDALE,PA,18431,-999,(570) 253-2621,COUNTY,OPEN,94,WAYNE,42127,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/Inspection-Schedule,-Statistics-And-General-Info.aspx, http://www.cor.pa.gov/Facilities/CountyPrisons/Pages/County-Prison-Contact-Info.aspx",2018/04/18 00:00:00,IMAGERY/OTHER,2020/01/31 00:00:00,https://www.waynecountypa.gov/211/Corrections,NOT AVAILABLE,201,0.00513337969796,659.679056460059,1.43467242599e-06,-75.20895577999995,41.548649115000046
