facilityInternal,agencyInternal,stateInternal,company,createdAt,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state
"Cullman County Detention Center","Alabama - Cullman County Sheriffs Office","AL","ICS","2021-01-07T20:11:45.553Z","Cullman County Detention Center","1900 Beech Ave SE, Cullman, AL 35055, United States","-86.8300094","34.1502761","Cullman County","ChIJB1-Mvi3KiYgRVcQw9D3p4Cg","AL"
"Dale County Jail","Alabama - Dale County Jail","AL","ICS","2021-01-07T20:11:51.054Z","Dale County Jail","124 Adams St, Ozark, AL 36360, United States","-85.63724409999999","31.4510312","Dale County","ChIJR3IsO9B9kogR_LjTv7aUUGQ","AL"
"Hoover City Police Department","Alabama - Hoover City Police Department","AL","ICS","2021-01-07T20:12:00.972Z","Hoover Police Department (City Hall)","100 Municipal Dr, Hoover, AL 35216, United States","-86.805836","33.387665","Jefferson County","ChIJERmd3A0iiYgRubh9xyuqQ4A","AL"
"Morgan County Jail","Alabama - Morgan County Jail","AL","ICS","2021-01-07T20:12:09.152Z","Morgan County Jail","119 Lee St NE, Decatur, AL 35601, United States","-86.9872828","34.6058472","Morgan County","ChIJZce2d9SFYogRd2o6VRgVrck","AL"
"ASPC-Papago","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:23.765Z","Papago","Papago, AZ 85333, USA","-113.1390708","33.1042115","Maricopa County","ChIJ99nEJVfk1IARcMVP3tMo1wA","AZ"
"ASPC-Ft Grant","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:26.798Z","Arizona State Prison-Ft Grant","15500 South Fort Grant Road, Willcox, AZ 85643, United States","-109.9442705","32.6229547","Graham County","ChIJwe4oCOvB14YRk5BFXreOCjQ","AZ"
"ASP-Marana CCTF","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:30.742Z","Marana Community Correctional Treatment Facility","12610 W Silverbell Rd, Marana, AZ 85653, United States","-111.2419433","32.4176483","Pima County","ChIJddw3pbbl1YYRRfIN6xVf1HA","AZ"
"ASPC-Tucson","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:34.942Z","Arizona State Prison Complex Tucson","10000 S Wilmot Rd, Tucson, AZ 85734, United States","-110.8588515","32.0667504","Pima County","ChIJUdUEVv5i1oYRH9DmjVwt69Q","AZ"
"ASPC-Yuma","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:38.960Z","Arizona State Prison Complex","7125 East Cesar Chavez Blvd., Yuma, AZ 85365, United States","-114.6430823","32.4941306","Yuma County","ChIJv-HtI8NR1oAR4dJ_ITNA-1A","AZ"
"ASP-Kingman","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:42.954Z","Kingman Prison","4626 W English Dr, Golden Valley, AZ 86413, United States","-114.179681","35.028965","Mohave County","ChIJSXW5AJoJzoARdmhEY5N1oNI","AZ"
"ASP-Red Rock Correctional Center","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:46.763Z","Red Rock Correctional Center","1750 E Arica Rd, Eloy, AZ 85131, United States","-111.5206062","32.8089843","Pinal County","ChIJb0X6tAdtKocRfOEvu_0uTgg","AZ"
"ASP-Central Arizona CACF","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:50.367Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
"ASPC-Florence","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:54.170Z","Arizona State Prison Complex - Florence","1305 E Butte Ave, Florence, AZ 85132, United States","-111.373139","33.0285822","Pinal County","ChIJB5HbeiQ8KocRoxOqjEUHHtE","AZ"
"ASPC-Apache","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:12:58.331Z","Arizona Department of Corrections, Arizona State Prison - Apache Unit","38322 US-180, St Johns, AZ 85936, United States","-109.3895888","34.3205251","Apache County","ChIJI7W-OXgHJocR3p1LC3s3H68","AZ"
"ASPC-Winslow","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:01.472Z","ASPC -Winslow","2100 AZ-87, Winslow, AZ 86047, United States","-110.718345","34.9846405","Navajo County","ChIJrT5qWENmLocRf2Q4UC1q1RY","AZ"
"ASPC-Phoenix","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:05.797Z","Arizona State Prison Complex","2500 E Van Buren St, Phoenix, AZ 85008, United States","-112.0258996","33.4525898","Maricopa County","ChIJbX07xeENK4cRtE5eySrvtPs","AZ"
"ASP-Phoenix West","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:09.545Z","Arizona State Prison-Phoenix","3402 W Cocopah St, Phoenix, AZ 85009, United States","-112.1328778","33.4327528","Maricopa County","ChIJ17t-4FcRK4cRjFm4R8QbDik","AZ"
"ASPC-Lewis","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:13.571Z","Lewis Corrections Department","26700 AZ-85, Buckeye, AZ 85326, United States","-112.6443652","33.2012808","Maricopa County","ChIJM6NMrwLT1IARUSi5pttMkiU","AZ"
"ASPC-Perryville","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:16.947Z","Arizona Department of Corrections Perryville","2105 N Citrus Rd, Goodyear, AZ 85395, United States","-112.4422426","33.4710105","Maricopa County","ChIJg_yMgBBIK4cRzEiF-1ga-s8","AZ"
"ASPC-Eyman","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:20.666Z","Arizona Department of Corrections-Eyman Complex","4374 E Butte Ave, Florence, AZ 85132, United States","-111.3375688","33.0314738","Pinal County","ChIJF52FgFk8KocRASR_RXyTm5U","AZ"
"ASP-Florence West","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:24.873Z","State Prison Florence West","915 E Diversion Dam Rd, Florence, AZ 85132, United States","-111.3765313","33.0368933","Pinal County","ChIJW1Y0cR88KocRQPz68LW_D5s","AZ"
"ASPC-Globe","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:29.341Z","Arizona Department of Corrections State Prison","1000 Fairgrounds Rd, Globe, AZ 85501, United States","-110.7110738","33.4166217","Gila County","ChIJbZQxh_6fKYcRml0JoiWFxqQ","AZ"
"ASPC-Safford","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:33.293Z","Arizona State Prison Complex – Safford","896 Cook Rd, Safford, AZ 85546, United States","-109.565446","32.830916","Graham County","ChIJSY_qtQsC2IYRLjSLPBl4nec","AZ"
"ASPC-Douglas","Arizona - Arizona Department of Corrections","AZ","ICS","2021-01-07T20:13:38.136Z","Arizona State Prison Complex - Douglas","6911 N Bdi Blvd, Douglas, AZ 85607, United States","-109.6001473","31.4455003","Cochise County","ChIJRRLVw4mp0IYRRObM8JvDDdI","AZ"
"Central Arizona - Florence NVDOC","Arizona - Central Arizona - Florence Correctional Complex","AZ","ICS","2021-01-07T20:13:48.960Z","CCA Central Arizona Detention Center","1155 N Pinal Pkwy Ave, Florence, AZ 85132, United States","-111.3775177","33.0407485","Pinal County","ChIJ5_AeCB08KocRMs6pCNP1JHk","AZ"
