uid,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,created,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,g_name_sim,internal_name_sim,max_name_similarity,hidden,HIFLDID,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override,facilityInternal_x,SHAPE_Length,facilityInternal_y,googlePlaceName_x,googlePlaceName_y
bcbfbb5ca5bc53, GROW,WIDOC,Wisconsin Department of Corrections - WIDOC,WI,ICS,8805.0,2021-03-06T02:50:26.201Z,,,GROW,"Grow, WI, USA",-90.9775462,45.4268082,Rusk County,ChIJc9QbU8Ntq1IRcTPPKsc0wwc,WI,12.0,12.0,12.0,True,10002522,,,,,,,,,,,,,,,
6b4050c37cce2e,PAPAGO,AZDOC,Arizona Department of Corrections,AZ,ICS,8806.0,2021-03-06T02:47:45.654Z,,,PAPAGO,"Papago, AZ 85333, USA",-113.1390708,33.1042115,Maricopa County,ChIJ99nEJVfk1IARcMVP3tMo1wA,AZ,25.0,25.0,25.0,True,10000605,,,,,,,,,,,,,,,
0827c5640a88ab,STOCKTON,KSDOC,Kansas Department of Corrections,KS,ICS,8807.0,2021-03-06T02:49:00.953Z,,,STOCKTON,"Stockton, KS 67669, USA",-99.2650967,39.4380656,Rooks County,ChIJZTLUP033oYcR0_O7WqWABE8,KS,32.0,32.0,32.0,True,10004812,,,,,,,,,,,,,,,
d8bf6a8351a0ac,ANNAPOLIS,AARUNDELCOMD,Anne Arundel Detention Facilities,MD,ICS,8808.0,2021-03-06T02:49:20.882Z,,,ANNAPOLIS,"Annapolis, MD, USA",-76.4921829,38.9784453,Anne Arundel County,ChIJ1S9ncGX2t4kRSyeo0_1U-EM,MD,34.0,34.0,34.0,True,10002395,,,,,,,,,,,,,,,
870b7442cf3f49,FAIRHOPE AL,,,AL,GTL,,2021-04-04T12:39:15.340Z,,,FAIRHOPE,"Fairhope, AL 36532, USA",-87.9033261,30.5229719,Baldwin County,ChIJj0C1ikZAmogRjceHnOHO2wQ,AL,32.0,36.0,36.0,True,10003751,,,,,,,,,,,,,,,
4a170988da6ab5, SHERIFF'S RIDGECREST SUBSTATION,,,CA,SECURUS,8810.0,2021-03-01T17:14:39.754Z,,,KERN COUNTY SHERIFF DEPARTMENT,"128 E Coso Ave, Ridgecrest, CA 93555, United States",-117.6688152,35.6284108,Kern County,ChIJ4QbnyslswYARlg53x5u6wWY,CA,35.0,37.0,37.0,True,10000852,,,,,,,,,,,,,,,
30bb6ae0519cea,HOLLAND POLICE DEPT,,,MI,SECURUS,8809.0,2021-01-08T22:07:40.143Z,,,HOLLAND POLICE DEPARTMENT,"89 W 8th St, Holland, MI 49423, United States",-86.1110727,42.7904182,Ottawa County,ChIJkywuA7fyGYgRa8FKspjBO_A,MI,36.0,37.0,37.0,True,10003841,,,,,,,,,,,,,,,
cbc0452f9d9923,USN PEARL HARBOR BRIG,Federal Bureau of Prisons VA-Petersburg FCC,,VA,GTL,,2021-04-04T14:06:40.500Z,,,NAVAL BRIG PEARL HARBOR,"2056 Wasp Blvd bldg 462, Honolulu, HI 96818, United States",-157.9669324,21.3632388,Honolulu County,ChIJCxIlUpJlAHwR47XT6k4amdo,VA,39.0,29.0,39.0,True,10000124,,,,,,,,,,,,,,,
a6a9f8216830a9,USN PEARL HARBOR BRIG,,,HI,GTL,,2021-04-04T13:50:03.743Z,,,NAVAL BRIG PEARL HARBOR,"2056 Wasp Blvd bldg 462, Honolulu, HI 96818, United States",-157.9669324,21.3632388,Honolulu County,ChIJCxIlUpJlAHwR47XT6k4amdo,HI,39.0,29.0,39.0,True,10000124,,,,,,,,,,,,,,,
1d64df479dfb02,USN PEARL HARBOR BRIG,Federal Bureau of Prisons MN-Rochester FMC,,MN,GTL,,2021-04-04T13:51:55.604Z,,,GUN FROM USS WARD,"101 W 12th St, St Paul, MN 55155, United States",-93.1038571,44.95179359999999,Ramsey County,ChIJcyjjja4q9ocRnvwXx8NqA8I,MN,26.0,39.0,39.0,True,10006952,,,,,,,,,,,,,,,
