,id,facilityInternal,agencyInternal,agencyFullNameInternal,stateInternal,company,canonicalFacilityId,createdAt,hidden_override,notes,googlePlaceName,address,longitude,latitude,county,googlePlaceId,state,index_right,FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,SHAPE_Le_1,SHAPE_Area,g_name_sim,internal_name_sim,name_override,jurisdiction_override,address_override,longitude_override,latitude_overrride,state_override,county_override,countyFIPS_override,HIFLDID_override,UCLACovid19ID_override
0,1,Hampden County Massachusetts Correctional Center Intake,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:54.766Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2138,2139,10006784,HAMPDEN COUNTY PRE-RELEASE CENTER,325 ALABAMA STREET,LUDLOW,MA,01056,-999,(413) 858-0819,COUNTY,OPEN,207,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.hcsdmass.org/,2018-03-19,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/pre-release-center/,MINIMUM,-999,0.00376511975544,472.651808852327,4.02709026e-07,85,78,,,,,,,,,,
3,4,Hampden Jail Visitation,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:57.095Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2138,2139,10006784,HAMPDEN COUNTY PRE-RELEASE CENTER,325 ALABAMA STREET,LUDLOW,MA,01056,-999,(413) 858-0819,COUNTY,OPEN,207,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.hcsdmass.org/,2018-03-19,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/pre-release-center/,MINIMUM,-999,0.00376511975544,472.651808852327,4.02709026e-07,85,47,,,,,,,,,,
5,6,Hampden County Massachusetts Correctional Center Orientation,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:59.251Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2138,2139,10006784,HAMPDEN COUNTY PRE-RELEASE CENTER,325 ALABAMA STREET,LUDLOW,MA,01056,-999,(413) 858-0819,COUNTY,OPEN,207,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.hcsdmass.org/,2018-03-19,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/pre-release-center/,MINIMUM,-999,0.00376511975544,472.651808852327,4.02709026e-07,85,78,,,,,,,,,,
6,7,Hampden County Jail and House of Correction (HCJHOC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:59.907Z,,,HAMPDEN COUNTY JAIL AND HOUSE OF CORRECTION,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51050579999999,42.2046321,Hampden County,ChIJuxGba1fD5okRh-ZqFm_NWQ0,MA,2138,2139,10006784,HAMPDEN COUNTY PRE-RELEASE CENTER,325 ALABAMA STREET,LUDLOW,MA,01056,-999,(413) 858-0819,COUNTY,OPEN,207,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.hcsdmass.org/,2018-03-19,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/pre-release-center/,MINIMUM,-999,0.00376511975544,472.651808852327,4.02709026e-07,60,60,,,,,,,,,,
9,10,Hampden Pre Release Center (PRC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:48:02.115Z,,,HAMPDEN COUNTY PRE-RELEASE CENTER,"325 Alabama St, Ludlow, MA 01056, United States",-72.50962609999999,42.201608,Hampden County,ChIJ3W_VGVnD5okRM4fbadBIBio,MA,2138,2139,10006784,HAMPDEN COUNTY PRE-RELEASE CENTER,325 ALABAMA STREET,LUDLOW,MA,01056,-999,(413) 858-0819,COUNTY,OPEN,207,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.hcsdmass.org/,2018-03-19,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/pre-release-center/,MINIMUM,-999,0.00376511975544,472.651808852327,4.02709026e-07,100,93,,,,,,,,,,
0,1,Hampden County Massachusetts Correctional Center Intake,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:54.766Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2130,2131,10003865,HAMPDEN COUNTY CORRECTIONAL CENTER,627 RANDALL ROAD,LUDLOW,MA,01056,-999,(413) 858-0000,COUNTY,OPEN,1350,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.hcsdmass.org/home/, http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf",2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/mi,MEDIUM,1178,0.0119214885491,1491.1674380867935,4.771485617e-06,85,100,,,,,,,,,,
3,4,Hampden Jail Visitation,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:57.095Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2130,2131,10003865,HAMPDEN COUNTY CORRECTIONAL CENTER,627 RANDALL ROAD,LUDLOW,MA,01056,-999,(413) 858-0000,COUNTY,OPEN,1350,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.hcsdmass.org/home/, http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf",2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/mi,MEDIUM,1178,0.0119214885491,1491.1674380867935,4.771485617e-06,85,47,,,,,,,,,,
5,6,Hampden County Massachusetts Correctional Center Orientation,HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:59.251Z,,,HAMPDEN COUNTY JAIL,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51286259999999,42.2035738,Hampden County,ChIJI6-Ea1fD5okRHL3v6qrv-2g,MA,2130,2131,10003865,HAMPDEN COUNTY CORRECTIONAL CENTER,627 RANDALL ROAD,LUDLOW,MA,01056,-999,(413) 858-0000,COUNTY,OPEN,1350,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.hcsdmass.org/home/, http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf",2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/mi,MEDIUM,1178,0.0119214885491,1491.1674380867935,4.771485617e-06,85,100,,,,,,,,,,
6,7,Hampden County Jail and House of Correction (HCJHOC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:47:59.907Z,,,HAMPDEN COUNTY JAIL AND HOUSE OF CORRECTION,"627 Randall Rd, Ludlow, MA 01056, United States",-72.51050579999999,42.2046321,Hampden County,ChIJuxGba1fD5okRh-ZqFm_NWQ0,MA,2130,2131,10003865,HAMPDEN COUNTY CORRECTIONAL CENTER,627 RANDALL ROAD,LUDLOW,MA,01056,-999,(413) 858-0000,COUNTY,OPEN,1350,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.hcsdmass.org/home/, http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf",2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/mi,MEDIUM,1178,0.0119214885491,1491.1674380867935,4.771485617e-06,75,69,,,,,,,,,,
9,10,Hampden Pre Release Center (PRC),HAMMA,Hampden County Sheriffs Department,MA,ICS,,2021-03-06T02:48:02.115Z,,,HAMPDEN COUNTY PRE-RELEASE CENTER,"325 Alabama St, Ludlow, MA 01056, United States",-72.50962609999999,42.201608,Hampden County,ChIJ3W_VGVnD5okRM4fbadBIBio,MA,2130,2131,10003865,HAMPDEN COUNTY CORRECTIONAL CENTER,627 RANDALL ROAD,LUDLOW,MA,01056,-999,(413) 858-0000,COUNTY,OPEN,1350,HAMPDEN,25013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.hcsdmass.org/home/, http://www.mass.gov/eopss/docs/doc/research-reports/overcrowding/2017-1stqtr-prisoncapacity-report.pdf",2017-03-27,IMAGERY/OTHER,2019-12-18,http://hcsdma.org/mi,MEDIUM,1178,0.0119214885491,1491.1674380867935,4.771485617e-06,78,64,,,,,,,,,,
